일자,총유입수량,전력량
2024-09-29,6964,17410
2024-09-30,6945,17362.5
2024-10-01,6919,17297.5
2024-10-02,6653,16632.5
2024-10-03,8432,21080
2024-10-04,7253,18132.5
2024-10-05,7167,17917.5
2024-10-06,7124,17810
2024-10-07,6662,16655
2024-10-08,6750,16875
2024-10-09,7726,19315
2024-10-10,7136,17840
2024-10-11,7136,17840
2024-10-12,6837,17092.5
2024-10-13,6805,17012.5
2024-10-14,6505,16262.5
2024-10-15,6768,16920
2024-10-16,6713,16782.5
2024-10-17,7047,17617.5
2024-10-18,6640,16600
2024-10-19,6586,16465
2024-10-20,6480,16200
2024-10-21,6586,16465
2024-10-22,6724,16810
2024-10-23,6742,16855
2024-10-24,6212,15530
2024-10-25,6511,16277.5
2024-10-26,6127,15317.5
2024-10-27,6455,16137.5
2024-10-28,6229,15572.5
2024-10-29,6381,15952.5
2024-10-30,6710,16775
2024-10-31,6527,16317.5
2024-11-01,6228,15570
2024-11-02,6340,15850
2024-11-03,6274,15685
2024-11-04,6188,15470
2024-11-05,6331,15827.5
2024-11-06,6653,16632.5
2024-11-07,7762,19405
2024-11-08,6518,16295
2024-11-09,6518,16295
2024-11-10,6427,16067.5
2024-11-11,6609,16522.5
2024-11-12,6584,16460
2024-11-13,6558,16395
2024-11-14,6593,16482.5
2024-11-15,6189,15472.5
2024-11-16,6250,15625
2024-11-17,6250,15625
2024-11-18,6647,16617.5
2024-11-19,6552,16380
2024-11-20,7028,17570
2024-11-21,6581,16452.5
2024-11-22,6468,16170
2024-11-23,6397,15992.5
2024-11-24,6601,16502.5
2024-11-25,6547,16367.5
2024-11-26,6286,15715
2024-11-27,6411,16027.5
2024-11-28,6537,16342.5
2024-11-29,8766,21915
2024-11-30,6663,16657.5
2024-12-01,6729,16822.5
2024-12-02,6483,16207.5
2024-12-03,6666,16665
2024-12-04,6794,16985
2024-12-05,6825,17062.5
2024-12-06,6807,17017.5
2024-12-07,6338,15845
2024-12-08,6812,17030
2024-12-09,6639,16597.5
2024-12-10,6700,16750
2024-12-11,6963,17407.5
2024-12-12,6384,15960
2024-12-13,6724,16810
2024-12-14,5925,14812.5
2024-12-15,6563,16407.5
2024-12-16,6500,16250
2024-12-17,6449,16122.5
2024-12-18,6495,16237.5
2024-12-19,6621,16552.5
2024-12-20,6549,16372.5
2024-12-21,6313,15782.5
2024-12-22,6819,17047.5
2024-12-23,6797,16992.5
2024-12-24,6798,16995
2024-12-25,6824,17060
2024-12-26,6764,16910
2024-12-27,6528,16320
2024-12-28,6650,16625
2024-12-29,6998,17495
2024-12-30,7753,19382.5
2024-12-31,7921,19802.5
